,date,predictions
464,2018-04-10,56.575134
465,2018-04-11,56.75715
466,2018-04-12,56.83884
467,2018-04-13,56.89313
468,2018-04-14,56.990265
469,2018-04-15,57.176277
470,2018-04-16,57.45643
471,2018-04-17,57.79218
472,2018-04-18,58.12045
473,2018-04-19,58.383766
474,2018-04-20,58.55383
475,2018-04-21,58.640205
476,2018-04-22,58.689022
477,2018-04-23,58.766106
478,2018-04-24,58.93201
479,2018-04-25,59.218693
480,2018-04-26,59.628212
481,2018-04-27,60.133224
482,2018-04-28,60.691036
483,2018-04-29,61.248375
484,2018-04-30,61.750782
485,2018-05-01,62.149258
486,2018-05-02,62.410225
487,2018-05-03,62.523277
488,2018-05-04,62.501957
489,2018-05-05,62.383663
490,2018-05-06,62.223568
491,2018-05-07,62.078484
492,2018-05-08,61.996094
493,2018-05-09,62.011337
494,2018-05-10,62.144196
495,2018-05-11,62.39855
496,2018-05-12,62.764084
497,2018-05-13,63.219467
498,2018-05-14,63.727707
499,2018-05-15,64.23957
500,2018-05-16,64.70275
501,2018-05-17,65.068726
502,2018-05-18,65.298904
503,2018-05-19,65.372475
504,2018-05-20,65.3011
505,2018-05-21,65.12773
506,2018-05-22,64.92103
507,2018-05-23,64.760216
508,2018-05-24,64.71434
509,2018-05-25,64.82402
510,2018-05-26,65.09585
511,2018-05-27,65.50501
512,2018-05-28,66.009315
513,2018-05-29,66.55986
514,2018-05-30,67.10608
515,2018-05-31,67.60181
516,2018-06-01,68.01168
517,2018-06-02,68.32173
518,2018-06-03,68.53689
519,2018-06-04,68.6803
520,2018-06-05,68.78524
521,2018-06-06,68.88162
522,2018-06-07,68.9884
523,2018-06-08,69.107895
524,2018-06-09,69.226364
525,2018-06-10,69.32451
526,2018-06-11,69.38791
527,2018-06-12,69.4174
528,2018-06-13,69.42932
529,2018-06-14,69.44657
530,2018-06-15,69.48794
531,2018-06-16,69.56002
532,2018-06-17,69.66295
533,2018-06-18,69.80198
534,2018-06-19,69.988266
535,2018-06-20,70.230774
536,2018-06-21,70.525375
537,2018-06-22,70.85185
538,2018-06-23,71.17992
539,2018-06-24,71.47558
540,2018-06-25,71.713684
541,2018-06-26,71.88238
542,2018-06-27,71.98372
543,2018-06-28,72.027
544,2018-06-29,72.02822
545,2018-06-30,72.00874
546,2018-07-01,71.989525
547,2018-07-02,71.99031
548,2018-07-03,72.025826
549,2018-07-04,72.09975
550,2018-07-05,72.20227
551,2018-07-06,72.31441
552,2018-07-07,72.414154
553,2018-07-08,72.49127
554,2018-07-09,72.54812
555,2018-07-10,72.59191
556,2018-07-11,72.62671
557,2018-07-12,72.65293
558,2018-07-13,72.671196
559,2018-07-14,72.663414
560,2018-07-15,72.61446
561,2018-07-16,72.52221
562,2018-07-17,72.39755
563,2018-07-18,72.255356
564,2018-07-19,72.111336
565,2018-07-20,71.98284
566,2018-07-21,71.88356
567,2018-07-22,71.830315
568,2018-07-23,71.8405
569,2018-07-24,71.927574
570,2018-07-25,72.09095
571,2018-07-26,72.31297
572,2018-07-27,72.56307
573,2018-07-28,72.81265
574,2018-07-29,73.03674
575,2018-07-30,73.209984
576,2018-07-31,73.30828
577,2018-08-01,73.31237
578,2018-08-02,73.22058
579,2018-08-03,73.04054
580,2018-08-04,72.794975
581,2018-08-05,72.519264
582,2018-08-06,72.25094
583,2018-08-07,72.02773
584,2018-08-08,71.87727
585,2018-08-09,71.81397
586,2018-08-10,71.83449
587,2018-08-11,71.92191
588,2018-08-12,72.050934
589,2018-08-13,72.19044
590,2018-08-14,72.30939
591,2018-08-15,72.377335
592,2018-08-16,72.36796
593,2018-08-17,72.27022
594,2018-08-18,72.09525
595,2018-08-19,71.870415
596,2018-08-20,71.62483
597,2018-08-21,71.38563
598,2018-08-22,71.17886
599,2018-08-23,71.02775
600,2018-08-24,70.94503
601,2018-08-25,70.935265
602,2018-08-26,70.99091
603,2018-08-27,71.09828
604,2018-08-28,71.2372
605,2018-08-29,71.38556
606,2018-08-30,71.516525
607,2018-08-31,71.603584
608,2018-09-01,71.63134
609,2018-09-02,71.59928
610,2018-09-03,71.52042
611,2018-09-04,71.41108
612,2018-09-05,71.285065
613,2018-09-06,71.15144
614,2018-09-07,71.01662
615,2018-09-08,70.875496
616,2018-09-09,70.71559
617,2018-09-10,70.52609
618,2018-09-11,70.3033
619,2018-09-12,70.055115
620,2018-09-13,69.77002
621,2018-09-14,69.44358
622,2018-09-15,69.066635
623,2018-09-16,68.64035
624,2018-09-17,68.18401
625,2018-09-18,67.733345
626,2018-09-19,67.32859
627,2018-09-20,67.00249
628,2018-09-21,66.77849
629,2018-09-22,66.67044
630,2018-09-23,66.670654
631,2018-09-24,66.74579
632,2018-09-25,66.84886
633,2018-09-26,66.93294
634,2018-09-27,66.964836
635,2018-09-28,66.93169
636,2018-09-29,66.83489
637,2018-09-30,66.68402
638,2018-10-01,66.48994
639,2018-10-02,66.26038
640,2018-10-03,65.9952
641,2018-10-04,65.69018
642,2018-10-05,65.334946
643,2018-10-06,64.914986
644,2018-10-07,64.423645
645,2018-10-08,63.874153
646,2018-10-09,63.305073
647,2018-10-10,62.767258
